iter	Passed	Remaining
0	15	4550
1	27	4029
2	41	4088
3	54	4032
4	64	3818
5	74	3667
6	85	3583
7	93	3423
8	103	3331
9	112	3259
10	122	3218
11	132	3189
12	144	3182
13	155	3170
14	165	3153
15	176	3136
16	187	3128
17	199	3121
18	209	3093
19	217	3041
20	225	2999
21	234	2968
22	244	2941
23	252	2903
24	261	2878
25	271	2855
26	280	2831
27	290	2820
28	299	2799
29	310	2792
30	320	2777
31	329	2762
32	347	2808
33	366	2868
34	389	2945
35	401	2943
36	410	2919
37	418	2885
38	431	2886
39	440	2863
40	451	2853
41	464	2852
42	475	2841
43	487	2834
44	497	2819
45	510	2816
46	521	2806
47	532	2797
48	544	2787
49	554	2770
50	564	2754
51	573	2736
52	583	2719
53	593	2704
54	603	2687
55	613	2671
56	621	2651
57	631	2634
58	642	2625
59	653	2612
60	663	2601
61	674	2589
62	685	2578
63	694	2562
64	703	2543
65	713	2528
66	726	2524
67	738	2518
68	750	2512
69	759	2497
70	769	2481
71	783	2481
72	797	2480
73	809	2473
74	822	2468
75	834	2459
76	844	2446
77	856	2438
78	868	2430
79	877	2412
80	888	2402
81	899	2392
82	913	2387
83	924	2378
84	935	2367
85	945	2353
86	957	2344
87	970	2338
88	984	2334
89	998	2330
90	1011	2322
91	1019	2305
92	1027	2288
93	1040	2280
94	1051	2268
95	1063	2258
96	1074	2248
97	1085	2238
98	1098	2230
99	1110	2220
100	1119	2206
101	1130	2195
102	1140	2181
103	1151	2170
104	1163	2161
105	1174	2149
106	1186	2139
107	1198	2131
108	1215	2129
109	1229	2123
110	1245	2120
111	1257	2110
112	1268	2099
113	1279	2087
114	1289	2074
115	1299	2061
116	1311	2050
117	1321	2037
118	1331	2025
119	1341	2012
120	1351	1999
121	1361	1986
122	1371	1973
123	1381	1961
124	1392	1949
125	1404	1939
126	1413	1925
127	1426	1916
128	1439	1907
129	1447	1892
130	1456	1879
131	1466	1866
132	1478	1856
133	1490	1846
134	1501	1834
135	1513	1825
136	1526	1816
137	1537	1804
138	1548	1793
139	1559	1782
140	1571	1772
141	1583	1761
142	1594	1750
143	1602	1735
144	1611	1722
145	1622	1711
146	1638	1705
147	1663	1708
148	1679	1702
149	1691	1691
150	1701	1678
151	1711	1666
152	1722	1654
153	1732	1642
154	1743	1631
155	1754	1619
156	1765	1607
157	1776	1596
158	1785	1583
159	1794	1570
160	1805	1559
161	1816	1547
162	1826	1534
163	1836	1522
164	1846	1510
165	1856	1498
166	1867	1487
167	1879	1476
168	1889	1464
169	1899	1452
170	1909	1440
171	1919	1428
172	1931	1418
173	1939	1404
174	1946	1390
175	1954	1376
176	1961	1363
177	1969	1350
178	1977	1336
179	1984	1323
180	1993	1310
181	2001	1297
182	2010	1285
183	2021	1274
184	2031	1263
185	2039	1249
186	2048	1238
187	2057	1225
188	2067	1213
189	2076	1202
190	2085	1190
191	2096	1179
192	2106	1167
193	2117	1156
194	2126	1144
195	2135	1133
196	2143	1120
197	2153	1109
198	2164	1098
199	2176	1088
200	2194	1081
201	2209	1071
202	2222	1061
203	2233	1051
204	2245	1040
205	2256	1029
206	2266	1018
207	2276	1006
208	2287	995
209	2297	984
210	2309	974
211	2319	962
212	2327	950
213	2339	940
214	2349	928
215	2361	918
216	2371	907
217	2386	897
218	2401	888
219	2410	876
220	2422	866
221	2434	855
222	2446	844
223	2457	833
224	2468	822
225	2480	812
226	2492	801
227	2504	790
228	2514	779
229	2526	768
230	2537	757
231	2545	745
232	2558	735
233	2575	726
234	2592	716
235	2603	706
236	2615	695
237	2627	684
238	2639	673
239	2651	662
240	2663	652
241	2675	641
242	2685	630
243	2698	619
244	2710	608
245	2721	597
246	2730	585
247	2743	575
248	2766	566
249	2779	555
250	2790	544
251	2800	533
252	2810	522
253	2820	510
254	2833	499
255	2843	488
256	2854	477
257	2865	466
258	2876	455
259	2888	444
260	2900	433
261	2911	422
262	2923	411
263	2932	399
264	2943	388
265	2954	377
266	2966	366
267	2979	355
268	2991	344
269	3002	333
270	3013	322
271	3023	311
272	3035	300
273	3047	289
274	3058	278
275	3067	266
276	3079	255
277	3092	244
278	3103	233
279	3118	222
280	3128	211
281	3138	200
282	3148	189
283	3157	177
284	3166	166
285	3176	155
286	3186	144
287	3193	133
288	3202	121
289	3209	110
290	3218	99
291	3227	88
292	3238	77
293	3246	66
294	3255	55
295	3264	44
296	3282	33
297	3298	22
298	3311	11
299	3322	0
