iter	Logloss
0	0.6708238972
1	0.6541490286
2	0.6404598494
3	0.6274326006
4	0.6172835963
5	0.6095372588
6	0.6014300502
7	0.595794787
8	0.5912261173
9	0.5852956962
10	0.5818460555
11	0.5769228278
12	0.5738279829
13	0.5705546079
14	0.5675525395
15	0.5647411424
16	0.5629256337
17	0.5603395273
18	0.5579755608
19	0.5562143189
20	0.5547698897
21	0.5535619579
22	0.5523362353
23	0.5501716443
24	0.5487889841
25	0.5475186569
26	0.5466311418
27	0.5445700401
28	0.5431046853
29	0.5419234139
30	0.5408078547
31	0.5392880217
32	0.5381739631
33	0.5372434755
34	0.5364517646
35	0.5356839298
36	0.5350818633
37	0.5344536274
38	0.5336648462
39	0.5329934099
40	0.5319678607
41	0.5306311274
42	0.5301890527
43	0.529453937
44	0.5285632414
45	0.5279790852
46	0.5274111023
47	0.52685646
48	0.5258494871
49	0.525366443
50	0.5248497855
51	0.5241763668
52	0.5235030455
53	0.522848408
54	0.5223190631
55	0.5215463122
56	0.5211056541
57	0.520719187
58	0.5201384075
59	0.5196845353
60	0.5191769964
61	0.51842136
62	0.5179500581
63	0.5176490937
64	0.5170687416
65	0.516618705
66	0.5161517376
67	0.5158328302
68	0.5154621161
69	0.5151627668
70	0.5146445554
71	0.5141707524
72	0.5139612137
73	0.5134973481
74	0.5125171851
75	0.5121652557
76	0.5117787185
77	0.5109544689
78	0.5106306432
79	0.5101472388
80	0.5098317363
81	0.5096082565
82	0.5092959328
83	0.5088068408
84	0.5081907704
85	0.5076516838
86	0.5072019693
87	0.506975559
88	0.5064370225
89	0.5060174124
90	0.505556205
91	0.5049565414
92	0.5045817413
93	0.5039087373
94	0.50363141
95	0.5031032184
96	0.5027244259
97	0.502251165
98	0.5017113901
99	0.501461658
100	0.5011317031
101	0.5007216075
102	0.500393707
103	0.4996779962
104	0.4991968699
105	0.4987387236
106	0.4982747299
107	0.4979046429
108	0.497287206
109	0.4966392624
110	0.4963338562
111	0.4957593697
112	0.4953618745
113	0.4950056262
114	0.4942891227
115	0.4936856845
116	0.4932562476
117	0.4928155409
118	0.4924636289
119	0.4920899067
120	0.4917469037
121	0.4914309054
122	0.490931902
123	0.4903377778
124	0.4898223085
125	0.4892054092
126	0.4887048826
127	0.4883782699
128	0.4880649842
129	0.4876521252
130	0.4871949313
131	0.486780734
132	0.4864035962
133	0.4860462525
134	0.4858163331
135	0.484875957
136	0.4840687433
137	0.4836624836
138	0.4832600888
139	0.4829392183
140	0.4824646193
141	0.4820512396
142	0.481824004
143	0.4814094843
144	0.4808292992
145	0.4805370491
146	0.4801705631
147	0.4795174009
148	0.4792018973
149	0.4788792652
150	0.4786080806
151	0.4782613491
152	0.477871413
153	0.4775591391
154	0.4772316326
155	0.4768890437
156	0.4766124254
157	0.4762201108
158	0.4758693934
159	0.4754429351
160	0.4750977205
161	0.474027158
162	0.4736811346
163	0.4734159212
164	0.4731139249
165	0.4728570306
166	0.4725054816
167	0.4721596163
168	0.4718412886
169	0.4714792961
170	0.4711389963
171	0.4708108253
172	0.470373101
173	0.469998002
174	0.4696800293
175	0.4693589123
176	0.4690253304
177	0.4686525158
178	0.4682802434
179	0.4677151344
180	0.4674075863
181	0.4671480195
182	0.4668024763
183	0.466607722
184	0.4662978841
185	0.4659640497
186	0.4656208532
187	0.4653227417
188	0.4650339264
189	0.4646227435
190	0.4643082317
191	0.4640788611
192	0.4637151077
193	0.463435636
194	0.4632496616
195	0.4629284487
196	0.4624933409
197	0.4622482838
198	0.4619493487
199	0.4616426531
200	0.4613558207
201	0.4610485924
202	0.4607387982
203	0.4604453747
204	0.4602303151
205	0.4599876449
206	0.4595354899
207	0.4592920984
208	0.4589684774
209	0.4587452065
210	0.4584618753
211	0.4581974288
212	0.4579073404
213	0.4576061808
214	0.4572536408
215	0.4569558044
216	0.4566812065
217	0.4563893103
218	0.4560518123
219	0.4557165249
220	0.4553666384
221	0.4551322797
222	0.4549555156
223	0.4546319376
224	0.4542988617
225	0.4539639779
226	0.4537045879
227	0.4532449638
228	0.4529796315
229	0.4527758035
230	0.4525020085
231	0.4522813165
232	0.4520631631
233	0.4517786808
234	0.4515603186
235	0.4513283447
236	0.4511892149
237	0.4508314306
238	0.4506016839
239	0.4503532917
240	0.4502117218
241	0.4500050388
242	0.4498328438
243	0.4495902705
244	0.4492693592
245	0.4490516524
246	0.4487859404
247	0.448582926
248	0.4483074255
249	0.4480305774
250	0.4478291439
251	0.4476230302
252	0.4472914775
253	0.4471041918
254	0.4469651918
255	0.4466601353
256	0.4463491664
257	0.4461104729
258	0.4457596494
259	0.4454782549
260	0.4451730048
261	0.4449267058
262	0.4447642784
263	0.4444445633
264	0.4441786608
265	0.4439998128
266	0.4437045972
267	0.443480883
268	0.4432094457
269	0.4429130999
270	0.4426785484
271	0.4423888237
272	0.4421369319
273	0.441941249
274	0.4414780567
275	0.4412626467
276	0.4409888505
277	0.4407335102
278	0.4404435753
279	0.440162053
280	0.4399538178
281	0.4396041815
282	0.4393890221
283	0.4389684548
284	0.4386627675
285	0.438345018
286	0.4381030111
287	0.4379186346
288	0.4376691129
289	0.4373632058
290	0.4370490154
291	0.4366806502
292	0.4364983073
293	0.4361589799
294	0.4358307002
295	0.4355622192
296	0.4353232135
297	0.4350295689
298	0.4347427555
299	0.4345240701
