iter	Passed	Remaining
0	11	3393
1	22	3376
2	34	3380
3	45	3398
4	87	5138
5	97	4772
6	106	4465
7	118	4320
8	135	4373
9	152	4421
10	163	4306
11	174	4193
12	186	4108
13	196	4020
14	205	3900
15	213	3790
16	222	3703
17	230	3606
18	239	3542
19	249	3491
20	259	3446
21	270	3420
22	282	3403
23	292	3360
24	302	3322
25	310	3270
26	321	3254
27	333	3242
28	341	3192
29	350	3150
30	359	3118
31	367	3076
32	375	3041
33	383	2997
34	395	2994
35	417	3064
36	432	3071
37	444	3063
38	453	3032
39	463	3012
40	473	2989
41	483	2970
42	495	2959
43	507	2953
44	518	2935
45	526	2906
46	535	2880
47	544	2857
48	553	2835
49	563	2816
50	574	2806
51	586	2797
52	596	2779
53	606	2762
54	617	2750
55	626	2731
56	637	2717
57	648	2704
58	660	2696
59	670	2681
60	680	2667
61	694	2667
62	718	2702
63	728	2685
64	735	2660
65	746	2646
66	757	2634
67	766	2615
68	775	2596
69	785	2580
70	794	2564
71	803	2544
72	813	2529
73	821	2508
74	829	2487
75	836	2466
76	843	2443
77	850	2421
78	858	2403
79	866	2383
80	873	2362
81	881	2344
82	890	2328
83	900	2315
84	910	2303
85	920	2289
86	929	2275
87	937	2258
88	947	2246
89	958	2235
90	966	2220
91	976	2207
92	986	2195
93	994	2179
94	1005	2169
95	1012	2152
96	1020	2136
97	1029	2122
98	1037	2106
99	1043	2086
100	1051	2071
101	1058	2055
102	1070	2047
103	1083	2042
104	1094	2032
105	1103	2020
106	1114	2010
107	1122	1994
108	1128	1978
109	1136	1962
110	1144	1948
111	1152	1934
112	1161	1921
113	1170	1909
114	1179	1897
115	1185	1880
116	1192	1865
117	1201	1852
118	1210	1840
119	1217	1825
120	1224	1811
121	1233	1799
122	1240	1784
123	1246	1768
124	1253	1754
125	1261	1741
126	1268	1727
127	1275	1713
128	1282	1699
129	1292	1689
130	1302	1680
131	1311	1669
132	1321	1658
133	1333	1651
134	1341	1639
135	1349	1627
136	1357	1614
137	1365	1602
138	1373	1590
139	1381	1578
140	1389	1567
141	1402	1560
142	1418	1557
143	1435	1554
144	1444	1544
145	1453	1533
146	1461	1521
147	1468	1508
148	1476	1496
149	1484	1484
150	1492	1472
151	1501	1461
152	1510	1451
153	1520	1441
154	1527	1428
155	1536	1418
156	1547	1409
157	1555	1397
158	1564	1387
159	1573	1377
160	1581	1365
161	1588	1353
162	1597	1342
163	1608	1333
164	1616	1322
165	1624	1310
166	1633	1300
167	1641	1289
168	1649	1278
169	1656	1266
170	1665	1256
171	1673	1245
172	1681	1234
173	1690	1224
174	1698	1213
175	1708	1203
176	1717	1193
177	1727	1183
178	1736	1173
179	1744	1163
180	1754	1153
181	1764	1143
182	1773	1133
183	1783	1124
184	1794	1115
185	1807	1107
186	1820	1099
187	1832	1091
188	1842	1082
189	1851	1072
190	1860	1061
191	1868	1051
192	1876	1040
193	1884	1029
194	1895	1020
195	1906	1011
196	1916	1001
197	1925	992
198	1937	983
199	1946	973
200	1956	963
201	1967	954
202	1980	946
203	1992	937
204	2001	927
205	2010	917
206	2018	907
207	2032	899
208	2044	890
209	2054	880
210	2065	871
211	2077	862
212	2090	853
213	2100	844
214	2110	834
215	2119	824
216	2128	814
217	2137	803
218	2145	793
219	2157	784
220	2166	774
221	2176	764
222	2186	755
223	2195	745
224	2203	734
225	2212	724
226	2221	714
227	2231	704
228	2240	694
229	2248	684
230	2259	674
231	2266	664
232	2274	653
233	2282	643
234	2293	634
235	2304	624
236	2315	615
237	2326	605
238	2335	596
239	2346	586
240	2355	576
241	2368	567
242	2382	558
243	2403	551
244	2415	542
245	2425	532
246	2434	522
247	2444	512
248	2454	502
249	2464	492
250	2474	483
251	2485	473
252	2495	463
253	2504	453
254	2517	444
255	2526	434
256	2534	424
257	2543	414
258	2553	404
259	2565	394
260	2574	384
261	2585	374
262	2594	365
263	2603	355
264	2612	345
265	2622	335
266	2631	325
267	2640	315
268	2649	305
269	2658	295
270	2668	285
271	2677	275
272	2688	265
273	2716	257
274	2740	249
275	2755	239
276	2768	229
277	2780	220
278	2792	210
279	2809	200
280	2819	190
281	2835	181
282	2846	170
283	2853	160
284	2861	150
285	2867	140
286	2874	130
287	2882	120
288	2888	109
289	2895	99
290	2902	89
291	2911	79
292	2919	69
293	2930	59
294	2938	49
295	2947	39
296	2955	29
297	2964	19
298	2973	9
299	2982	0
